        Color, Max Tiles
 "19,183,210", 1606
  "0,153,150", 1878
   "0,161,55", 529
 "162,197,16", 1019
"226,202,144", 724
  "248,172,0", 598
  "238,117,0", 229
"237,106,112", 203
