        Color,     0,      100,    120,     160,     200,    240,     246,     250,     253,     253,     254,     255
 "19,183,210",     8,       5,      10,      10,      10,     10,       5,       4,       2,       4,       0,       0
  "0,153,150",    10,      20,      50,      10,       5,      5,       3,       1,       1,       0,       0,       0
   "0,161,55",    20,      10,       3,       1,       0,      0,       0,       2,       1,       0,       0,       0
 "162,197,16",     1,       1,       1,       1,       4,      4,       5,      10,      10,       2,       1,       0
"226,202,144",     1,       1,       1,       1,       1,      1,       2,      10,      30,      10,       5,      10
  "248,172,0",     0,       0,       0,       0,       0,      0,       1,       5,      40,      90,      10,      20
  "238,117,0",     0,       0,       0,       0,       0,      0,       0,       2,      10,      50,      40,      30
"237,106,112",     0,       0,       0,       0,       0,      0,       0,       0,       0,      10,      10,      30
