        Color,     0,      60,     110,     150,     227,     235,     248,     249,    250,      251,     252,     253,     254,     255
 "19,183,210",     8,       5,      10,      10,      10,       5,       4,       2,       4,       5,       1,       4,       0,       0
  "0,153,150",    10,      20,      50,      10,       5,       3,       1,       1,       3,       1,       0,       0,       0,       0
   "0,161,55",    20,      10,       3,       1,       0,       0,       2,       1,       1,       0,       1,       0,       0,       0
 "162,197,16",     1,       1,       1,       1,       4,       5,      10,      10,      10,       1,       1,       2,       1,       0
"226,202,144",     1,       1,       1,       1,       1,       2,      10,      30,      20,      30,      40,      10,       5,      10
  "248,172,0",     0,       0,       0,       0,       0,       1,       5,      40,      50,      30,      30,      90,      10,      20
  "238,117,0",     0,       0,       0,       0,       0,       0,       2,      10,      10,      10,      10,      50,      40,      30
"237,106,112",     0,       0,       0,       0,       0,       0,       0,       0,       1,       3,       1,      10,      10,      30
